wx wy wz
-1.59046297e+01 2.54183862e+02 3.79081017e+00
-1.40777511e+01 2.77568537e+02 3.07569054e+00
-1.24734085e+01 2.96067854e+02 2.52327434e+00
-1.10627006e+01 3.09295866e+02 2.10134793e+00
-9.82059980e+00 3.16969361e+02 1.78261404e+00
-8.72544167e+00 3.18912865e+02 1.54424562e+00
-7.75848888e+00 3.15061609e+02 1.36740634e+00
-6.90355249e+00 3.05462400e+02 1.23676557e+00
-6.14665959e+00 2.90272367e+02 1.14002743e+00
-5.47575898e+00 2.69755600e+02 1.06748727e+00
-4.88045980e+00 2.44277777e+02 1.01162349e+00
-4.35179925e+00 2.14298922e+02 9.66729065e-01
-3.88203709e+00 1.80364441e+02 9.28584264e-01
-3.46447490e+00 1.43094661e+02 8.94170173e-01
-3.09329840e+00 1.03173072e+02 8.61421251e-01
-2.76344122e+00 6.13334930e+01 8.29014301e-01
-2.47046841e+00 1.83464167e+01 7.96190784e-01
-2.21047775e+00 -2.49952588e+01 7.62609144e-01
-1.98001712e+00 -6.78908500e+01 7.28223850e-01
-1.77601581e+00 -1.09546634e+02 6.93187963e-01
-1.59572803e+00 -1.49190478e+02 6.57776186e-01
-1.43668663e+00 -1.86086110e+02 6.22325586e-01
-1.29666548e+00 -2.19546797e+02 5.87191368e-01
-1.17364884e+00 -2.48948176e+02 5.52715290e-01
-1.06580656e+00 -2.73740011e+02 5.19204522e-01
-9.71473831e-01 -2.93456636e+02 4.86918936e-01
-8.89134539e-01 -3.07725870e+02 4.56065024e-01
-8.17407537e-01 -3.16276208e+02 4.26794859e-01
-7.55035065e-01 -3.18942131e+02 3.99208696e-01
-7.00872868e-01 -3.15667403e+02 3.73360035e-01
-6.53881598e-01 -3.06506281e+02 3.49262147e-01
-6.13119169e-01 -2.91622612e+02 3.26895288e-01
-5.77733839e-01 -2.71286834e+02 3.06213957e-01
-5.46957840e-01 -2.45870955e+02 2.87153764e-01
-5.20101422e-01 -2.15841627e+02 2.69637565e-01
-4.96547241e-01 -1.81751473e+02 2.53580696e-01
-4.75745044e-01 -1.44228846e+02 2.38895184e-01
-4.57206618e-01 -1.03966230e+02 2.25492930e-01
-4.40501021e-01 -6.17075169e+01 2.13287921e-01
-4.25250101e-01 -1.82343781e+01 2.02197554e-01
-4.11124310e-01 2.56480217e+01 1.92143203e-01
-3.97838849e-01 6.91257327e+01 1.83050187e-01
-3.85150136e-01 1.11390906e+02 1.74847284e-01
-3.72852598e-01 1.51656615e+02 1.67465966e-01
-3.60775779e-01 1.89171368e+02 1.60839490e-01
-3.48781721e-01 2.23233056e+02 1.54902001e-01
-3.36762576e-01 2.53202091e+02 1.49587748e-01
-3.24638390e-01 2.78513492e+02 1.44830529e-01
-3.12355006e-01 2.98687659e+02 1.40563411e-01
-2.99882001e-01 3.13339635e+02 1.36718782e-01
-2.87210616e-01 3.22186626e+02 1.33228740e-01
-2.74351618e-01 3.25053637e+02 1.30025800e-01
-2.61333068e-01 3.21877062e+02 1.27043874e-01
-2.48197978e-01 3.12706169e+02 1.24219467e-01
-2.35001850e-01 2.97702428e+02 1.21492991e-01
-2.21810147e-01 2.77136710e+02 1.18810116e-01
-2.08695714e-01 2.51384419e+02 1.16123047e-01
-1.95736204e-01 2.20918660e+02 1.13391644e-01
-1.83011585e-01 1.86301622e+02 1.10584277e-01
-1.70601769e-01 1.48174323e+02 1.07678377e-01
-1.58584421e-01 1.07244956e+02 1.04660604e-01
-1.47033002e-01 6.42760337e+01 1.01526639e-01
-1.36015070e-01 2.00705770e+01 9.82805872e-02
-1.25590869e-01 -2.45424233e+01 9.49340404e-02
-1.15812197e-01 -6.87230326e+01 9.15048522e-02
-1.06721574e-01 -1.11635645e+02 8.80157035e-02
-9.83516703e-02 -1.52464265e+02 8.44925513e-02
-9.07250070e-02 -1.90427548e+02 8.09630547e-02
-8.38538799e-02 -2.24793369e+02 7.74550711e-02
-7.77405032e-02 -2.54892648e+02 7.39953068e-02
-7.23773407e-02 -2.80132218e+02 7.06081896e-02
-6.77476046e-02 -3.00006480e+02 6.73150141e-02
-6.38258990e-02 -3.14107631e+02 6.41333886e-02
-6.05789854e-02 -3.22134270e+02 6.10769931e-02
-5.79666490e-02 -3.23898206e+02 5.81556354e-02
-5.59426425e-02 -3.19329353e+02 5.53755802e-02
-5.44556837e-02 -3.08478610e+02 5.27401074e-02
-5.34504846e-02 -2.91518698e+02 5.02502468e-02
-5.28687880e-02 -2.68742944e+02 4.79056303e-02
-5.26503906e-02 -2.40562046e+02 4.57053957e-02
-5.27341326e-02 -2.07498844e+02 4.36490794e-02
-5.30588394e-02 -1.70181164e+02 4.17374443e-02
-5.35642005e-02 -1.29332848e+02 3.99732004e-02
-5.41915789e-02 -8.57632391e+01 3.83615836e-02
-5.48847401e-02 -4.03556402e+01 3.69107382e-02
-5.55905008e-02 5.94465118e+00 3.56318033e-02
-5.62593050e-02 5.21425921e+01 3.45385789e-02
-5.68457487e-02 9.72070608e+01 3.36467598e-02
-5.73090670e-02 1.40088538e+02 3.29730932e-02
-5.76135331e-02 1.79742927e+02 3.25353011e-02
-5.77286374e-02 2.15158955e+02 3.23536108e-02
-5.76289308e-02 2.45379470e+02 3.24533615e-02
-5.72937109e-02 2.69507694e+02 3.28654290e-02
-5.67072461e-02 2.86712003e+02 3.36196794e-02
-5.58603778e-02 2.96281823e+02 3.47309949e-02
-5.47532742e-02 2.97789683e+02 3.61886525e-02
-5.33968630e-02 2.91299535e+02 3.79663477e-02
-5.18091517e-02 2.77343337e+02 4.00494032e-02
-5.00052651e-02 2.56333204e+02 4.24258343e-02
-4.79868677e-02 2.27593360e+02 4.49756393e-02
-4.57430090e-02 1.89177950e+02 4.73310775e-02
-4.32737392e-02 1.39763375e+02 4.90370568e-02
-4.06337446e-02 8.15579694e+01 5.03017722e-02
-3.79569261e-02 1.98972134e+01 5.27754604e-02
-3.53767239e-02 -4.26641543e+01 5.86996055e-02
-3.28082440e-02 -1.09833965e+02 6.77864817e-02
-2.98474428e-02 -1.81647347e+02 7.52621386e-02
-2.62265228e-02 -2.41152801e+02 7.57318139e-02
9.14550541e+02 7.91443919e+02 4.18424556e+02
-6.61895759e+02 -3.87247030e+02 -8.93366562e+02
-1.21113230e+03 -3.85006918e+02 -8.18876500e+02
-1.44534509e+03 -1.78186422e+02 -7.76816238e+02
-1.47551641e+03 -8.16973493e+01 -6.65205262e+02
-1.37831038e+03 -1.04536096e+02 -5.45221808e+02
-1.28455986e+03 -1.55179281e+02 -5.40282788e+02
-1.23439277e+03 -1.88586258e+02 -5.60492265e+02
-1.20331810e+03 -2.02508937e+02 -5.08530692e+02
-1.16823811e+03 -1.86433394e+02 -3.84674892e+02
-1.11596206e+03 -1.48916205e+02 -2.47965431e+02
-1.04591416e+03 -1.16917382e+02 -1.48062097e+02
-9.65599209e+02 -1.06407673e+02 -9.02658585e+01
-8.82353691e+02 -1.13602189e+02 -5.49093121e+01
-8.00456264e+02 -1.27954085e+02 -2.53568696e+01
-7.22003035e+02 -1.42747556e+02 3.42239207e+00
-6.48082696e+02 -1.56158108e+02 2.95326496e+01
-5.79352893e+02 -1.68292466e+02 5.04874323e+01
-5.16175420e+02 -1.79310120e+02 6.57176937e+01
-4.58619930e+02 -1.89276085e+02 7.59048613e+01
-4.06524462e+02 -1.98299489e+02 8.18414424e+01
-3.59610707e+02 -2.06304473e+02 8.41136237e+01
-3.17571635e+02 -2.12803345e+02 8.33044825e+01
-2.80093894e+02 -2.17009201e+02 8.01294231e+01
-2.46842745e+02 -2.18155752e+02 7.53449157e+01
-2.17452274e+02 -2.15727018e+02 6.95916166e+01
-1.91537362e+02 -2.09480887e+02 6.33260798e+01
-1.68717301e+02 -1.99356058e+02 5.68535551e+01
-1.48635523e+02 -1.85390389e+02 5.03932356e+01
-1.30968783e+02 -1.67699373e+02 4.41205615e+01
-1.15428116e+02 -1.46489640e+02 3.81773640e+01
-1.01756505e+02 -1.22068593e+02 3.26674599e+01
