nx ny nz
-3.46640680e-05 0.00000000e+00 0.00000000e+00
8.97992480e-05 0.00000000e+00 0.00000000e+00
2.35347535e-04 0.00000000e+00 0.00000000e+00
2.08133524e-04 0.00000000e+00 0.00000000e+00
-1.95355818e-03 0.00000000e+00 0.00000000e+00
-1.86607582e-03 0.00000000e+00 0.00000000e+00
4.03454018e-04 0.00000000e+00 0.00000000e+00
3.13203661e-04 0.00000000e+00 0.00000000e+00
7.02992678e-05 0.00000000e+00 0.00000000e+00
-5.73904446e-05 0.00000000e+00 0.00000000e+00
3.87156433e-05 0.00000000e+00 0.00000000e+00
1.14344992e-04 0.00000000e+00 0.00000000e+00
1.41262439e-04 0.00000000e+00 0.00000000e+00
1.50761476e-04 0.00000000e+00 0.00000000e+00
1.50107289e-04 0.00000000e+00 0.00000000e+00
1.43486464e-04 0.00000000e+00 0.00000000e+00
1.32207877e-04 0.00000000e+00 0.00000000e+00
1.15545854e-04 0.00000000e+00 0.00000000e+00
9.38495019e-05 0.00000000e+00 0.00000000e+00
6.83673286e-05 0.00000000e+00 0.00000000e+00
4.04495163e-05 0.00000000e+00 0.00000000e+00
1.13934864e-05 0.00000000e+00 0.00000000e+00
-1.75460406e-05 0.00000000e+00 0.00000000e+00
-4.51575743e-05 0.00000000e+00 0.00000000e+00
-7.03317749e-05 0.00000000e+00 0.00000000e+00
-9.20532721e-05 0.00000000e+00 0.00000000e+00
-1.09453520e-04 0.00000000e+00 0.00000000e+00
-1.21843352e-04 0.00000000e+00 0.00000000e+00
-1.28740998e-04 0.00000000e+00 0.00000000e+00
-1.29893226e-04 0.00000000e+00 0.00000000e+00
-1.25287673e-04 0.00000000e+00 0.00000000e+00
-1.15154839e-04 0.00000000e+00 0.00000000e+00
-9.99594194e-05 0.00000000e+00 0.00000000e+00
-8.03811581e-05 0.00000000e+00 0.00000000e+00
-5.72857864e-05 0.00000000e+00 0.00000000e+00
-3.16880232e-05 0.00000000e+00 0.00000000e+00
-4.70936918e-06 0.00000000e+00 0.00000000e+00
2.24671647e-05 0.00000000e+00 0.00000000e+00
4.86678570e-05 0.00000000e+00 0.00000000e+00
7.27380398e-05 0.00000000e+00 0.00000000e+00
9.36321371e-05 0.00000000e+00 0.00000000e+00
1.10438662e-04 0.00000000e+00 0.00000000e+00
1.22422752e-04 0.00000000e+00 0.00000000e+00
1.29059898e-04 0.00000000e+00 0.00000000e+00
1.30059416e-04 0.00000000e+00 0.00000000e+00
1.25377352e-04 0.00000000e+00 0.00000000e+00
1.15218630e-04 0.00000000e+00 0.00000000e+00
1.00027994e-04 0.00000000e+00 0.00000000e+00
8.04701505e-05 0.00000000e+00 0.00000000e+00
5.74002768e-05 0.00000000e+00 0.00000000e+00
3.18261922e-05 0.00000000e+00 0.00000000e+00
4.86371880e-06 0.00000000e+00 0.00000000e+00
-2.23127772e-05 0.00000000e+00 0.00000000e+00
-4.85137153e-05 0.00000000e+00 0.00000000e+00
-7.25999036e-05 0.00000000e+00 0.00000000e+00
-9.35166751e-05 0.00000000e+00 0.00000000e+00
-1.10346296e-04 0.00000000e+00 0.00000000e+00
-1.22346261e-04 0.00000000e+00 0.00000000e+00
-1.28980557e-04 0.00000000e+00 0.00000000e+00
-1.29942306e-04 0.00000000e+00 0.00000000e+00
-1.25166291e-04 0.00000000e+00 0.00000000e+00
-1.14830539e-04 0.00000000e+00 0.00000000e+00
-9.93471404e-05 0.00000000e+00 0.00000000e+00
-7.93430287e-05 0.00000000e+00 0.00000000e+00
-5.56317670e-05 0.00000000e+00 0.00000000e+00
-2.91789858e-05 0.00000000e+00 0.00000000e+00
-1.06465208e-06 0.00000000e+00 0.00000000e+00
2.75554821e-05 0.00000000e+00 0.00000000e+00
5.55152758e-05 0.00000000e+00 0.00000000e+00
8.16113886e-05 0.00000000e+00 0.00000000e+00
1.04674692e-04 0.00000000e+00 0.00000000e+00
1.23553907e-04 0.00000000e+00 0.00000000e+00
1.37091268e-04 0.00000000e+00 0.00000000e+00
1.44253609e-04 0.00000000e+00 0.00000000e+00
1.44967160e-04 0.00000000e+00 0.00000000e+00
1.40438177e-04 0.00000000e+00 0.00000000e+00
1.29950832e-04 0.00000000e+00 0.00000000e+00
1.09654091e-04 0.00000000e+00 0.00000000e+00
7.30170927e-05 0.00000000e+00 0.00000000e+00
-1.11397184e-05 0.00000000e+00 0.00000000e+00
-1.22222418e-04 0.00000000e+00 0.00000000e+00
-2.03745214e-05 0.00000000e+00 0.00000000e+00
2.18966285e-04 0.00000000e+00 0.00000000e+00
3.53439158e-04 0.00000000e+00 0.00000000e+00
-1.68011453e-03 0.00000000e+00 0.00000000e+00
-1.65546246e-03 0.00000000e+00 0.00000000e+00
5.11783417e-04 0.00000000e+00 0.00000000e+00
3.23473335e-04 0.00000000e+00 0.00000000e+00
7.43028239e-06 0.00000000e+00 0.00000000e+00
-9.10858521e-05 0.00000000e+00 0.00000000e+00
4.34574675e-05 0.00000000e+00 0.00000000e+00
1.12972205e-04 0.00000000e+00 0.00000000e+00
1.29348549e-04 0.00000000e+00 0.00000000e+00
1.32532771e-04 0.00000000e+00 0.00000000e+00
1.29192816e-04 0.00000000e+00 0.00000000e+00
1.23487225e-04 0.00000000e+00 0.00000000e+00
1.13676578e-04 0.00000000e+00 0.00000000e+00
9.78902044e-05 0.00000000e+00 0.00000000e+00
7.70908069e-05 0.00000000e+00 0.00000000e+00
5.29077132e-05 0.00000000e+00 0.00000000e+00
2.67467504e-05 0.00000000e+00 0.00000000e+00
