fx fy fz
0.00000000e+00 1.09751231e-03 4.43506736e-06
0.00000000e+00 -1.58015129e-03 1.66636721e-05
0.00000000e+00 -1.94133923e-04 -1.32881199e-06
0.00000000e+00 5.27271663e-04 -7.03870607e-06
0.00000000e+00 2.68977078e-04 -6.97504594e-07
0.00000000e+00 1.24962586e-04 1.76398544e-06
0.00000000e+00 1.12522512e-04 1.13483950e-06
0.00000000e+00 9.62961927e-05 5.24609734e-07
0.00000000e+00 6.84445189e-05 4.79131578e-07
0.00000000e+00 3.87228215e-05 5.00160650e-07
0.00000000e+00 8.04025024e-06 3.63409333e-07
0.00000000e+00 -2.26410988e-05 1.54459209e-07
0.00000000e+00 -5.13766481e-05 -1.82854293e-08
0.00000000e+00 -7.66614160e-05 -1.16380700e-07
0.00000000e+00 -9.75398921e-05 -1.39435591e-07
0.00000000e+00 -1.13343019e-04 -9.58911154e-08
0.00000000e+00 -1.23594412e-04 1.25005644e-09
0.00000000e+00 -1.28016571e-04 1.32133103e-07
0.00000000e+00 -1.26547815e-04 2.71359404e-07
0.00000000e+00 -1.19350494e-04 3.92405808e-07
0.00000000e+00 -1.06809896e-04 4.72479510e-07
0.00000000e+00 -8.95234023e-05 4.96367595e-07
0.00000000e+00 -6.82796695e-05 4.58814601e-07
0.00000000e+00 -4.40285085e-05 3.65234419e-07
0.00000000e+00 -1.78428330e-05 2.30679458e-07
0.00000000e+00 9.12555430e-06 7.72120298e-08
0.00000000e+00 3.56942850e-05 -6.99064884e-08
0.00000000e+00 6.07006329e-05 -1.86567789e-07
0.00000000e+00 8.30513159e-05 -2.53966722e-07
0.00000000e+00 1.01769631e-04 -2.61836095e-07
0.00000000e+00 1.16037786e-04 -2.10209003e-07
0.00000000e+00 1.25232492e-04 -1.09404621e-07
0.00000000e+00 1.28952191e-04 2.17610359e-08
0.00000000e+00 1.27034643e-04 1.59232397e-07
0.00000000e+00 1.19564048e-04 2.77874163e-07
0.00000000e+00 1.06867353e-04 3.55820784e-07
0.00000000e+00 8.94999088e-05 3.78253625e-07
0.00000000e+00 6.82211134e-05 3.39963722e-07
0.00000000e+00 4.39611472e-05 2.46247316e-07
0.00000000e+00 1.77802890e-05 1.11987476e-07
0.00000000e+00 -9.17739539e-06 -4.09218639e-08
0.00000000e+00 -3.57339691e-05 -1.87363489e-07
0.00000000e+00 -6.07289920e-05 -3.03339225e-07
0.00000000e+00 -8.30701302e-05 -3.70122758e-07
0.00000000e+00 -1.01780831e-04 -3.77495869e-07
0.00000000e+00 -1.16042999e-04 -3.25521482e-07
0.00000000e+00 -1.25232795e-04 -2.24533997e-07
0.00000000e+00 -1.28947984e-04 -9.33559463e-08
0.00000000e+00 -1.27025583e-04 4.39552312e-08
0.00000000e+00 -1.19549024e-04 1.62267961e-07
0.00000000e+00 -1.06844503e-04 2.39724021e-07
0.00000000e+00 -8.94667020e-05 2.61521869e-07
0.00000000e+00 -6.81745645e-05 2.22483961e-07
0.00000000e+00 -4.38982592e-05 1.27959753e-07
0.00000000e+00 -1.76988782e-05 -7.08135531e-09
0.00000000e+00 9.27727055e-06 -1.60618906e-07
0.00000000e+00 3.58476720e-05 -3.07365074e-07
0.00000000e+00 6.08436628e-05 -4.23110962e-07
0.00000000e+00 8.31592347e-05 -4.88899127e-07
0.00000000e+00 1.01796327e-04 -4.94313768e-07
0.00000000e+00 1.15904501e-04 -4.39377452e-07
0.00000000e+00 1.24813166e-04 -3.34763147e-07
0.00000000e+00 1.28054900e-04 -2.00254077e-07
0.00000000e+00 1.25379132e-04 -6.14513990e-08
0.00000000e+00 1.16756406e-04 5.49691358e-08
