ux uy uz
0.00000000e+00 -4.90853591e+02 -6.60954386e+00
0.00000000e+00 -5.25719871e+02 -6.28818046e+00
0.00000000e+00 -5.54281623e+02 -5.47442166e+00
0.00000000e+00 -5.76194736e+02 -4.24987956e+00
0.00000000e+00 -5.91194857e+02 -2.71563658e+00
0.00000000e+00 -5.99100888e+02 -9.87456742e-01
0.00000000e+00 -5.99817401e+02 8.09700141e-01
0.00000000e+00 -5.93335904e+02 2.54760082e+00
0.00000000e+00 -5.79734950e+02 4.10081634e+00
0.00000000e+00 -5.59179064e+02 5.35266650e+00
0.00000000e+00 -5.31916535e+02 6.20074892e+00
0.00000000e+00 -4.98276110e+02 6.56178995e+00
0.00000000e+00 -4.58662676e+02 6.37558694e+00
0.00000000e+00 -4.13552019e+02 5.60785435e+00
0.00000000e+00 -3.63484771e+02 4.25183789e+00
0.00000000e+00 -3.09059650e+02 2.32861966e+00
0.00000000e+00 -2.50926114e+02 -1.13900843e-01
0.00000000e+00 -1.89776543e+02 -3.00330171e+00
0.00000000e+00 -1.26338030e+02 -6.24610092e+00
0.00000000e+00 -6.13639067e+01 -9.73222130e+00
0.00000000e+00 4.37494765e+00 -1.33402459e+01
0.00000000e+00 7.00989233e+01 -1.69432132e+01
0.00000000e+00 1.35028563e+02 -2.04146766e+01
0.00000000e+00 1.98393450e+02 -2.36347389e+01
0.00000000e+00 2.59441043e+02 -2.64957748e+01
0.00000000e+00 3.17445380e+02 -2.89075674e+01
0.00000000e+00 3.71715595e+02 -3.08016164e+01
0.00000000e+00 4.21604147e+02 -3.21344101e+01
0.00000000e+00 4.66514675e+02 -3.28895068e+01
0.00000000e+00 5.05909370e+02 -3.30783277e+01
0.00000000e+00 5.39315759e+02 -3.27396205e+01
0.00000000e+00 5.66332781e+02 -3.19376228e+01
0.00000000e+00 5.86636034e+02 -3.07590090e+01
0.00000000e+00 5.99982111e+02 -2.93087684e+01
0.00000000e+00 6.06211911e+02 -2.77052075e+01
0.00000000e+00 6.05252866e+02 -2.60743141e+01
0.00000000e+00 5.97120035e+02 -2.45437503e+01
0.00000000e+00 5.81916044e+02 -2.32367577e+01
0.00000000e+00 5.59829874e+02 -2.22662645e+01
0.00000000e+00 5.31134551e+02 -2.17294723e+01
0.00000000e+00 4.96183773e+02 -2.17031809e+01
0.00000000e+00 4.55407580e+02 -2.22400729e+01
0.00000000e+00 4.09307155e+02 -2.33661364e+01
