x y z
0.00000000e+00 3.24885663e-02 2.89993520e+01
0.00000000e+00 3.90502691e-02 2.94993296e+01
0.00000000e+00 4.38540998e-02 2.99993273e+01
0.00000000e+00 4.66762929e-02 3.04993400e+01
0.00000000e+00 4.73777502e-02 3.09993599e+01
0.00000000e+00 4.59107061e-02 3.14993776e+01
0.00000000e+00 4.23219291e-02 3.19993840e+01
0.00000000e+00 3.67525349e-02 3.24993714e+01
0.00000000e+00 2.94346590e-02 3.29993354e+01
0.00000000e+00 2.06854270e-02 3.34992754e+01
0.00000000e+00 1.08989828e-02 3.39991954e+01
0.00000000e+00 5.37135559e-04 3.44991031e+01
0.00000000e+00 -9.88247420e-03 3.49990091e+01
0.00000000e+00 -1.98004575e-02 3.54989250e+01
0.00000000e+00 -2.86257975e-02 3.59988610e+01
0.00000000e+00 -3.57498766e-02 3.64988240e+01
0.00000000e+00 -4.05707264e-02 3.69988153e+01
0.00000000e+00 -4.24262567e-02 3.74988258e+01
0.00000000e+00 -4.05689813e-02 3.79988330e+01
0.00000000e+00 -3.46446960e-02 3.84988084e+01
0.00000000e+00 -2.43675698e-02 3.89987143e+01
0.00000000e+00 -9.60189926e-03 3.94985182e+01
0.00000000e+00 1.38425551e-02 2.57337290e-03
0.00000000e+00 3.15928002e-02 5.02289111e-01
0.00000000e+00 4.35885237e-02 1.00215790e+00
0.00000000e+00 5.02254249e-02 1.50212622e+00
0.00000000e+00 5.18171720e-02 2.00213671e+00
0.00000000e+00 4.88865600e-02 2.50214531e+00
0.00000000e+00 4.23707576e-02 3.00212003e+00
0.00000000e+00 3.30535491e-02 3.50204954e+00
0.00000000e+00 2.16905014e-02 4.00193734e+00
0.00000000e+00 9.05789093e-03 4.50179541e+00
0.00000000e+00 -4.09111488e-03 5.00164077e+00
0.00000000e+00 -1.70410123e-02 5.50149217e+00
0.00000000e+00 -2.91330707e-02 6.00136613e+00
0.00000000e+00 -3.97861875e-02 6.50127398e+00
0.00000000e+00 -4.85113230e-02 7.00122029e+00
0.00000000e+00 -5.49233501e-02 7.50120262e+00
0.00000000e+00 -5.87510678e-02 8.00121224e+00
0.00000000e+00 -5.98439275e-02 8.50123592e+00
0.00000000e+00 -5.81747971e-02 9.00125837e+00
0.00000000e+00 -5.38384610e-02 9.50126494e+00
0.00000000e+00 -4.70456668e-02 1.00012442e+01
0.00000000e+00 -3.81127742e-02 1.05011897e+01
0.00000000e+00 -2.74473049e-02 1.10011012e+01
0.00000000e+00 -1.55298963e-02 1.15009845e+01
0.00000000e+00 -2.89333156e-03 1.20008503e+01
0.00000000e+00 9.90053230e-03 1.25007125e+01
0.00000000e+00 2.22850059e-02 1.30005857e+01
0.00000000e+00 3.37129854e-02 1.35004824e+01
0.00000000e+00 4.36805289e-02 1.40004111e+01
0.00000000e+00 5.17485925e-02 1.45003749e+01
0.00000000e+00 5.75619896e-02 1.50003707e+01
0.00000000e+00 6.08647409e-02 1.55003898e+01
0.00000000e+00 6.15111329e-02 1.60004197e+01
0.00000000e+00 5.94719789e-02 1.65004458e+01
0.00000000e+00 5.48357940e-02 1.70004545e+01
0.00000000e+00 4.78048262e-02 1.75004348e+01
0.00000000e+00 3.86861197e-02 1.80003810e+01
0.00000000e+00 2.78780135e-02 1.85002931e+01
0.00000000e+00 1.58526715e-02 1.90001772e+01
0.00000000e+00 3.13542084e-03 1.95000440e+01
0.00000000e+00 -9.71820133e-03 1.99999073e+01
0.00000000e+00 -2.21466984e-02 2.04997817e+01
0.00000000e+00 -3.36071205e-02 2.09996795e+01
0.00000000e+00 -4.35987734e-02 2.14996094e+01
0.00000000e+00 -5.16851073e-02 2.19995741e+01
0.00000000e+00 -5.75128354e-02 2.24995705e+01
0.00000000e+00 -6.08274430e-02 2.29995901e+01
0.00000000e+00 -6.14843954e-02 2.34996201e+01
0.00000000e+00 -5.94555441e-02 2.39996461e+01
0.00000000e+00 -5.48304450e-02 2.44996543e+01
0.00000000e+00 -4.78125329e-02 2.49996339e+01
0.00000000e+00 -3.87103308e-02 2.54995791e+01
0.00000000e+00 -2.79240954e-02 2.59994901e+01
0.00000000e+00 -1.59285011e-02 2.64993729e+01
0.00000000e+00 -3.25212969e-03 2.69992383e+01
0.00000000e+00 9.54534359e-03 2.74991004e+01
