x y z
0.00000000e+00 -1.16720338e-04 5.91600000e+00
0.00000000e+00 -1.22591435e-04 6.00300000e+00
0.00000000e+00 -1.26992204e-04 6.09000000e+00
0.00000000e+00 -1.29870161e-04 6.17700000e+00
0.00000000e+00 -1.31190989e-04 6.26400000e+00
0.00000000e+00 -1.30938950e-04 6.35100000e+00
0.00000000e+00 -1.29117073e-04 6.43800000e+00
0.00000000e+00 -1.25747115e-04 6.52500000e+00
0.00000000e+00 -1.20869306e-04 6.61200000e+00
0.00000000e+00 -1.14541864e-04 6.69900000e+00
0.00000000e+00 -1.06840302e-04 6.78600000e+00
0.00000000e+00 -9.78565261e-05 6.87300000e+00
0.00000000e+00 -8.76977372e-05 6.96000000e+00
0.00000000e+00 -7.64851508e-05 7.04700000e+00
0.00000000e+00 -6.43525485e-05 7.13400000e+00
0.00000000e+00 -5.14446807e-05 7.22100000e+00
0.00000000e+00 -3.79155370e-05 7.30800000e+00
0.00000000e+00 -2.39265067e-05 7.39500000e+00
0.00000000e+00 -9.64445057e-06 7.48200000e+00
0.00000000e+00 4.76029233e-06 7.56900000e+00
0.00000000e+00 1.91159403e-05 7.65600000e+00
0.00000000e+00 3.32513213e-05 7.74300000e+00
0.00000000e+00 4.69979190e-05 7.83000000e+00
0.00000000e+00 6.01918863e-05 7.91700000e+00
0.00000000e+00 7.26760041e-05 8.00400000e+00
0.00000000e+00 8.43015611e-05 8.09100000e+00
0.00000000e+00 9.49301318e-05 8.17800000e+00
0.00000000e+00 1.04435233e-04 8.26500000e+00
0.00000000e+00 1.12703837e-04 8.35200000e+00
0.00000000e+00 1.19637724e-04 8.43900000e+00
0.00000000e+00 1.25154663e-04 8.52600000e+00
0.00000000e+00 1.29189394e-04 8.61300000e+00
0.00000000e+00 1.31694415e-04 8.70000000e+00
0.00000000e+00 1.32640555e-04 8.78700000e+00
0.00000000e+00 1.32017332e-04 8.87400000e+00
0.00000000e+00 1.29833080e-04 8.96100000e+00
0.00000000e+00 1.26114867e-04 9.04800000e+00
0.00000000e+00 1.20908176e-04 9.13500000e+00
0.00000000e+00 1.14276377e-04 9.22200000e+00
0.00000000e+00 1.06299984e-04 9.30900000e+00
0.00000000e+00 9.70757112e-05 9.39600000e+00
0.00000000e+00 8.67153335e-05 9.48300000e+00
0.00000000e+00 7.53443777e-05 9.57000000e+00
0.00000000e+00 6.31006473e-05 9.65700000e+00
0.00000000e+00 5.01326073e-05 9.74400000e+00
0.00000000e+00 3.65976470e-05 9.83100000e+00
0.00000000e+00 2.26602415e-05 9.91800000e+00
0.00000000e+00 8.49003785e-06 1.00050000e+01
0.00000000e+00 -5.74011305e-06 1.00920000e+01
0.00000000e+00 -1.98561502e-05 1.01790000e+01
0.00000000e+00 -3.36847974e-05 1.02660000e+01
0.00000000e+00 -4.70555316e-05 1.03530000e+01
0.00000000e+00 -5.98024970e-05 1.04400000e+01
0.00000000e+00 -7.17663374e-05 1.05270000e+01
0.00000000e+00 -8.27959176e-05 1.06140000e+01
0.00000000e+00 -9.27499057e-05 1.07010000e+01
0.00000000e+00 -1.01498186e-04 1.07880000e+01
0.00000000e+00 -1.08923071e-04 1.08750000e+01
0.00000000e+00 -1.14920286e-04 1.09620000e+01
0.00000000e+00 -1.19399678e-04 1.10490000e+01
0.00000000e+00 -1.22285628e-04 1.11360000e+01
0.00000000e+00 -1.23517119e-04 1.12230000e+01
0.00000000e+00 -1.23047404e-04 1.13100000e+01
0.00000000e+00 -1.20843242e-04 1.13970000e+01
0.00000000e+00 -1.16883641e-04 1.14840000e+01
0.00000000e+00 -1.11158079e-04 1.15710000e+01
0.00000000e+00 -1.03664186e-04 1.16580000e+01
0.00000000e+00 -9.44050137e-05 1.17450000e+01
