fx fy fz
0.00000000e+00 3.50611389e-02 -5.05111149e-03
0.00000000e+00 -4.09547284e-03 4.85661605e-04
0.00000000e+00 -3.98897112e-03 4.76625306e-04
0.00000000e+00 -2.76350416e-03 3.03183264e-04
0.00000000e+00 -1.13978208e-03 1.18760485e-04
0.00000000e+00 -1.40851329e-04 5.31699967e-06
0.00000000e+00 8.59269411e-05 -3.25795025e-05
0.00000000e+00 -9.69175876e-05 -2.65533931e-05
0.00000000e+00 -3.61249507e-04 -8.18539443e-06
0.00000000e+00 -5.70617442e-04 5.49949711e-06
0.00000000e+00 -7.12180856e-04 1.07189720e-05
0.00000000e+00 -8.09696032e-04 1.02705519e-05
0.00000000e+00 -8.82565656e-04 8.03901861e-06
0.00000000e+00 -9.38867800e-04 6.49185121e-06
0.00000000e+00 -9.79913490e-04 6.40869893e-06
0.00000000e+00 -1.00486752e-03 7.53772699e-06
0.00000000e+00 -1.01294474e-03 9.29161720e-06
0.00000000e+00 -1.00397281e-03 1.11522892e-05
0.00000000e+00 -9.78336753e-04 1.27966942e-05
0.00000000e+00 -9.36813864e-04 1.40695350e-05
0.00000000e+00 -8.80445766e-04 1.49131575e-05
0.00000000e+00 -8.10456721e-04 1.53117691e-05
0.00000000e+00 -7.28201637e-04 1.52641823e-05
0.00000000e+00 -6.35131292e-04 1.47779779e-05
0.00000000e+00 -5.32767765e-04 1.38733137e-05
0.00000000e+00 -4.22685791e-04 1.25877432e-05
0.00000000e+00 -3.06497197e-04 1.09780997e-05
0.00000000e+00 -1.85836678e-04 9.11889059e-06
0.00000000e+00 -6.23479499e-05 7.09821342e-06
0.00000000e+00 6.23301111e-05 5.01241907e-06
0.00000000e+00 1.86577494e-04 2.96052079e-06
0.00000000e+00 3.08807211e-04 1.03885099e-06
0.00000000e+00 4.27479530e-04 -6.63751605e-07
0.00000000e+00 5.41116148e-04 -2.07014309e-06
0.00000000e+00 6.48314172e-04 -3.11837790e-06
0.00000000e+00 7.47759746e-04 -3.76445714e-06
0.00000000e+00 8.38241128e-04 -3.98421610e-06
0.00000000e+00 9.18661040e-04 -3.77431402e-06
0.00000000e+00 9.88048092e-04 -3.15225912e-06
0.00000000e+00 1.04556708e-03 -2.15544567e-06
0.00000000e+00 1.09052796e-03 -8.39294066e-07
0.00000000e+00 1.12239338e-03 7.25478727e-07
0.00000000e+00 1.14078452e-03 2.45629439e-06
0.00000000e+00 1.14548519e-03 4.26269998e-06
0.00000000e+00 1.13644405e-03 6.05072386e-06
0.00000000e+00 1.11377491e-03 7.72738569e-06
0.00000000e+00 1.07775504e-03 9.20515088e-06
0.00000000e+00 1.02882156e-03 1.04061124e-05
0.00000000e+00 9.67565893e-04 1.12657037e-05
0.00000000e+00 8.94726371e-04 1.17357776e-05
0.00000000e+00 8.11179124e-04 1.17868843e-05
0.00000000e+00 7.17927357e-04 1.14096632e-05
0.00000000e+00 6.16089159e-04 1.06152603e-05
0.00000000e+00 5.06884022e-04 9.43480804e-06
0.00000000e+00 3.91618238e-04 7.91789054e-06
0.00000000e+00 2.71669341e-04 6.13020543e-06
0.00000000e+00 1.48469795e-04 4.15040279e-06
0.00000000e+00 2.34900924e-05 2.06636197e-06
0.00000000e+00 -1.01778542e-04 -2.90209961e-08
0.00000000e+00 -2.25841666e-04 -2.04222873e-06
0.00000000e+00 -3.47219177e-04 -3.88358078e-06
0.00000000e+00 -4.64462719e-04 -5.47150455e-06
0.00000000e+00 -5.76172766e-04 -6.73642130e-06
0.00000000e+00 -6.81015198e-04 -7.62404667e-06
0.00000000e+00 -7.77737175e-04 -8.09801237e-06
0.00000000e+00 -8.65182139e-04 -8.14158456e-06
0.00000000e+00 -9.42303738e-04 -7.75848367e-06
0.00000000e+00 -1.00817851e-03 -6.97272626e-06
0.00000000e+00 -1.06201717e-03 -5.82749051e-06
0.00000000e+00 -1.10317423e-03 -4.38306618e-06
0.00000000e+00 -1.13115605e-03 -2.71400195e-06
0.00000000e+00 -1.14562686e-03 -9.05541654e-07
0.00000000e+00 -1.14641299e-03 9.50409281e-07
0.00000000e+00 -1.13350497e-03 2.75969829e-06
0.00000000e+00 -1.10705772e-03 4.43037867e-06
0.00000000e+00 -1.06738851e-03 5.87711514e-06
