nx ny nz
1.25957514e-03 0.00000000e+00 0.00000000e+00
1.31577894e-03 0.00000000e+00 0.00000000e+00
1.35627157e-03 0.00000000e+00 0.00000000e+00
1.38056952e-03 0.00000000e+00 0.00000000e+00
1.38838266e-03 0.00000000e+00 0.00000000e+00
1.37961770e-03 0.00000000e+00 0.00000000e+00
1.35437929e-03 0.00000000e+00 0.00000000e+00
1.31296881e-03 0.00000000e+00 0.00000000e+00
1.25588071e-03 0.00000000e+00 0.00000000e+00
1.18379666e-03 0.00000000e+00 0.00000000e+00
1.09757738e-03 0.00000000e+00 0.00000000e+00
9.98252390e-04 0.00000000e+00 0.00000000e+00
8.87007680e-04 0.00000000e+00 0.00000000e+00
7.65171579e-04 0.00000000e+00 0.00000000e+00
6.34198881e-04 0.00000000e+00 0.00000000e+00
4.95653478e-04 0.00000000e+00 0.00000000e+00
3.51189682e-04 0.00000000e+00 0.00000000e+00
2.02532476e-04 0.00000000e+00 0.00000000e+00
5.14569129e-05 0.00000000e+00 0.00000000e+00
-1.00233075e-04 0.00000000e+00 0.00000000e+00
-2.50726222e-04 0.00000000e+00 0.00000000e+00
-3.98225551e-04 0.00000000e+00 0.00000000e+00
-5.40969834e-04 0.00000000e+00 0.00000000e+00
-6.77254620e-04 0.00000000e+00 0.00000000e+00
-8.05452590e-04 0.00000000e+00 0.00000000e+00
-9.24032984e-04 0.00000000e+00 0.00000000e+00
-1.03157988e-03 0.00000000e+00 0.00000000e+00
-1.12680912e-03 0.00000000e+00 0.00000000e+00
-1.20858359e-03 0.00000000e+00 0.00000000e+00
-1.27592686e-03 0.00000000e+00 0.00000000e+00
-1.32803483e-03 0.00000000e+00 0.00000000e+00
-1.36428528e-03 0.00000000e+00 0.00000000e+00
-1.38424536e-03 0.00000000e+00 0.00000000e+00
-1.38767675e-03 0.00000000e+00 0.00000000e+00
-1.37453846e-03 0.00000000e+00 0.00000000e+00
-1.34498738e-03 0.00000000e+00 0.00000000e+00
-1.29937636e-03 0.00000000e+00 0.00000000e+00
-1.23825003e-03 0.00000000e+00 0.00000000e+00
-1.16233827e-03 0.00000000e+00 0.00000000e+00
-1.07254751e-03 0.00000000e+00 0.00000000e+00
-9.69949899e-04 0.00000000e+00 0.00000000e+00
-8.55770523e-04 0.00000000e+00 0.00000000e+00
-7.31372747e-04 0.00000000e+00 0.00000000e+00
-5.98241951e-04 0.00000000e+00 0.00000000e+00
-4.57967797e-04 0.00000000e+00 0.00000000e+00
-3.12225239e-04 0.00000000e+00 0.00000000e+00
-1.62754529e-04 0.00000000e+00 0.00000000e+00
-1.13404350e-05 0.00000000e+00 0.00000000e+00
1.40209071e-04 0.00000000e+00 0.00000000e+00
2.90084398e-04 0.00000000e+00 0.00000000e+00
4.36495948e-04 0.00000000e+00 0.00000000e+00
5.77695481e-04 0.00000000e+00 0.00000000e+00
7.11996991e-04 0.00000000e+00 0.00000000e+00
8.37796841e-04 0.00000000e+00 0.00000000e+00
9.53592906e-04 0.00000000e+00 0.00000000e+00
1.05800251e-03 0.00000000e+00 0.00000000e+00
1.14977895e-03 0.00000000e+00 0.00000000e+00
1.22782636e-03 0.00000000e+00 0.00000000e+00
1.29121280e-03 0.00000000e+00 0.00000000e+00
1.33918140e-03 0.00000000e+00 0.00000000e+00
1.37115939e-03 0.00000000e+00 0.00000000e+00
1.38676494e-03 0.00000000e+00 0.00000000e+00
1.38581170e-03 0.00000000e+00 0.00000000e+00
1.36831106e-03 0.00000000e+00 0.00000000e+00
1.33447199e-03 0.00000000e+00 0.00000000e+00
1.28469854e-03 0.00000000e+00 0.00000000e+00
1.21958503e-03 0.00000000e+00 0.00000000e+00
1.13990897e-03 0.00000000e+00 0.00000000e+00
1.04662172e-03 0.00000000e+00 0.00000000e+00
9.40837204e-04 0.00000000e+00 0.00000000e+00
8.23818537e-04 0.00000000e+00 0.00000000e+00
6.96962995e-04 0.00000000e+00 0.00000000e+00
5.61785307e-04 0.00000000e+00 0.00000000e+00
4.19899574e-04 0.00000000e+00 0.00000000e+00
2.72999993e-04 0.00000000e+00 0.00000000e+00
1.22840633e-04 0.00000000e+00 0.00000000e+00
-2.87855156e-05 0.00000000e+00 0.00000000e+00
-1.80067949e-04 0.00000000e+00 0.00000000e+00
-3.29200265e-04 0.00000000e+00 0.00000000e+00
-4.74401738e-04 0.00000000e+00 0.00000000e+00
-6.13938576e-04 0.00000000e+00 0.00000000e+00
-7.46144628e-04 0.00000000e+00 0.00000000e+00
-8.69441277e-04 0.00000000e+00 0.00000000e+00
-9.82356287e-04 0.00000000e+00 0.00000000e+00
-1.08354139e-03 0.00000000e+00 0.00000000e+00
-1.17178837e-03 0.00000000e+00 0.00000000e+00
-1.24604352e-03 0.00000000e+00 0.00000000e+00
-1.30542017e-03 0.00000000e+00 0.00000000e+00
-1.34920935e-03 0.00000000e+00 0.00000000e+00
-1.37688817e-03 0.00000000e+00 0.00000000e+00
-1.38812615e-03 0.00000000e+00 0.00000000e+00
-1.38278908e-03 0.00000000e+00 0.00000000e+00
-1.36094071e-03 0.00000000e+00 0.00000000e+00
-1.32284190e-03 0.00000000e+00 0.00000000e+00
-1.26894759e-03 0.00000000e+00 0.00000000e+00
5.78248767e-03 0.00000000e+00 0.00000000e+00
8.39288051e-03 0.00000000e+00 0.00000000e+00
-5.47790398e-03 0.00000000e+00 0.00000000e+00
-3.38951435e-05 0.00000000e+00 0.00000000e+00
2.24357881e-04 0.00000000e+00 0.00000000e+00
3.82167356e-04 0.00000000e+00 0.00000000e+00
4.75000026e-04 0.00000000e+00 0.00000000e+00
4.98825062e-04 0.00000000e+00 0.00000000e+00
4.67495421e-04 0.00000000e+00 0.00000000e+00
4.11289648e-04 0.00000000e+00 0.00000000e+00
3.52723946e-04 0.00000000e+00 0.00000000e+00
2.99317614e-04 0.00000000e+00 0.00000000e+00
2.49889615e-04 0.00000000e+00 0.00000000e+00
2.01552462e-04 0.00000000e+00 0.00000000e+00
1.52728940e-04 0.00000000e+00 0.00000000e+00
1.03305435e-04 0.00000000e+00 0.00000000e+00
5.39074236e-05 0.00000000e+00 0.00000000e+00
5.31534607e-06 0.00000000e+00 0.00000000e+00
-4.17899995e-05 0.00000000e+00 0.00000000e+00
-8.68729021e-05 0.00000000e+00 0.00000000e+00
-1.29511299e-04 0.00000000e+00 0.00000000e+00
-1.69356969e-04 0.00000000e+00 0.00000000e+00
-2.06108198e-04 0.00000000e+00 0.00000000e+00
-2.39495464e-04 0.00000000e+00 0.00000000e+00
-2.69275834e-04 0.00000000e+00 0.00000000e+00
-2.95232294e-04 0.00000000e+00 0.00000000e+00
-3.17175570e-04 0.00000000e+00 0.00000000e+00
-3.34947039e-04 0.00000000e+00 0.00000000e+00
-3.48421921e-04 0.00000000e+00 0.00000000e+00
-3.57512348e-04 0.00000000e+00 0.00000000e+00
-3.62170054e-04 0.00000000e+00 0.00000000e+00
-3.62388571e-04 0.00000000e+00 0.00000000e+00
-3.58204842e-04 0.00000000e+00 0.00000000e+00
