ux uy uz
0.00000000e+00 -1.02986344e+02 3.56165380e+00
0.00000000e+00 -1.12575327e+02 3.52000412e+00
0.00000000e+00 -1.20391967e+02 3.52082855e+00
0.00000000e+00 -1.26308449e+02 3.55572426e+00
0.00000000e+00 -1.30240484e+02 3.61501166e+00
0.00000000e+00 -1.32143852e+02 3.68849846e+00
0.00000000e+00 -1.32010192e+02 3.76593502e+00
0.00000000e+00 -1.29863405e+02 3.83740734e+00
0.00000000e+00 -1.25756694e+02 3.89375869e+00
0.00000000e+00 -1.19769916e+02 3.92702053e+00
0.00000000e+00 -1.12007040e+02 3.93079602e+00
0.00000000e+00 -1.02593627e+02 3.90054883e+00
0.00000000e+00 -9.16743329e+01 3.83377479e+00
0.00000000e+00 -7.94104281e+01 3.73005502e+00
0.00000000e+00 -6.59773456e+01 3.59100024e+00
0.00000000e+00 -5.15622541e+01 3.42010022e+00
0.00000000e+00 -3.63616476e+01 3.22249264e+00
0.00000000e+00 -2.05789460e+01 3.00466523e+00
0.00000000e+00 -4.42210676e+00 2.77410576e+00
0.00000000e+00 1.18987515e+01 2.53891523e+00
0.00000000e+00 2.81737071e+01 2.30740114e+00
0.00000000e+00 4.41953632e+01 2.08766835e+00
0.00000000e+00 5.97611333e+01 1.88722573e+00
0.00000000e+00 7.46754658e+01 1.71262588e+00
0.00000000e+00 8.87519909e+01 1.56915396e+00
0.00000000e+00 1.01815568e+02 1.46057940e+00
0.00000000e+00 1.13704214e+02 1.38898148e+00
0.00000000e+00 1.24270890e+02 1.35465630e+00
0.00000000e+00 1.33385126e+02 1.35610902e+00
0.00000000e+00 1.40934464e+02 1.39013125e+00
0.00000000e+00 1.46825706e+02 1.45195971e+00
0.00000000e+00 1.50985936e+02 1.53550827e+00
0.00000000e+00 1.53363321e+02 1.63366237e+00
0.00000000e+00 1.53927667e+02 1.73862167e+00
0.00000000e+00 1.52670724e+02 1.84227465e+00
0.00000000e+00 1.49606238e+02 1.93658737e+00
0.00000000e+00 1.44769743e+02 2.01398804e+00
0.00000000e+00 1.38218104e+02 2.06772896e+00
0.00000000e+00 1.30028802e+02 2.09220888e+00
0.00000000e+00 1.20298980e+02 2.08324036e+00
0.00000000e+00 1.09144260e+02 2.03824954e+00
0.00000000e+00 9.66973399e+01 1.95639876e+00
0.00000000e+00 8.31063924e+01 1.83862645e+00
0.00000000e+00 6.85332820e+01 1.68760212e+00
0.00000000e+00 5.31516230e+01 1.50759887e+00
0.00000000e+00 3.71447006e+01 1.30428946e+00
0.00000000e+00 2.07032802e+01 1.08447552e+00
0.00000000e+00 4.02333007e+00 8.55763029e-01
0.00000000e+00 -1.26963158e+01 6.26199359e-01
0.00000000e+00 -2.92563278e+01 4.03889255e-01
0.00000000e+00 -4.54592554e+01 1.96608009e-01
0.00000000e+00 -6.11118809e+01 1.14302763e-02
0.00000000e+00 -7.60275226e+01 -1.45607802e-01
0.00000000e+00 -9.00282615e+01 -2.69797073e-01
0.00000000e+00 -1.02947066e+02 -3.57980698e-01
0.00000000e+00 -1.14629787e+02 -4.08705610e-01
